title,year,director,actor1,actor2,genre,rating,country,releasedate
Blast from the Past,1999,Hugh Wilson,Brendan Fraser,Alicia Silverstone,Comedy,6.6,USA,12-Feb-99
The Illinois Parables,2016,Deborah Stratman,Daniel Verdier,David Gatten,Documentary,7.3,USA,16-Nov-16
Murder on the Yellow Brick Road,2005,Ross Hagen,Mark Atha,Guy Bolling,Drama,5.1,USA,7-Jul-05
The Eighteen Carat Virgin,1971,Emilio Portici,Nicole Vadim,Cherry Sundey,Drama,5.2,USA,27-Nov-72
The Eyes of Isabelle,2014,Mathew Kister,Karrie Bauman,Danielle Brookshire,Horror,7.2,USA,15-May-14
Off the Black,2006,James Ponsoldt,Nick Nolte,Trevor Morgan,Drama,6.6,USA,8-Dec-06
Blood Sabbath,1972,Brianne Murphy,Anthony Geary,Susan Damante,Horror,4.2,USA,NA
Paul,2011,Greg Mottola,Simon Pegg,Nick Frost,Adventure,7,USA,18-Mar-11
The Seventh Coin,1993,Dror Soref,Alexandra Powers,Navin Chowdhry,Adventure,4.9,USA,10-Sep-93
Bad Boy Street,2012,Todd Verow,Yann de Monterno,Florence d'AzÃ©mar,Drama,6.2,USA,19-Jul-12
The Erotic Memoirs of a Male Chauvinist Pig,1973,R.C. HÃ¶rsch,Paul Taylor,Georgina Spelvin,Adult,5,USA,23-Aug-73
Moneyball,2011,Bennett Miller,Brad Pitt,Robin Wright,Biography,7.6,USA,23-Sep-11
Cotter,1973,Paul Stanley,Don Murray,Carol Lynley,Drama,6.6,USA,NA
Kiss the Girls,1997,Gary Fleder,Morgan Freeman,Ashley Judd,Crime,6.6,USA,3-Oct-97
Sister Island,1996,Avery Crounse,Kathleen York,Karen Black,Drama,6.9,USA,May-96
The Sweet Life,2003,Rocco Simonelli,Reed Clare,Donna Drake,Comedy,7.1,USA,24-Apr-03
Catch .44,2011,Aaron Harvey,Malin Akerman,Nikki Reed,Action,4.6,USA,5-Jan-12
Motel 666,2012,Carlos Jimenez Flores,Wesley John,Jim Dougherty,Horror,5.7,USA,30-Aug-12
Pitching Love and Catching Faith,2015,Rebecca Sternberg,Courtney Beavers,Derek Boone,Romance,5.4,USA,6-Feb-15
My Master My Love,1975,Ralph Ell,Nancy Dare,Don Allen,Adult,5.3,USA,13-Aug-75
12,2003,Lawrence Bridges,Alison Elliott,Tony Griffin,Comedy,7.5,USA,27-Jun-03
Wednesday Again,2008,John Lavachielli,Richmond Arquette,Riki Lindhome,Drama,5.8,USA,2008
Book of Love: The Definitive Reason Why Men Are Dogs,2002,Jeffrey W. Byrd,40 Glocc,Angelle Brooks,Comedy,6.6,USA,14-Feb-02
Coffee Date,2006,Stewart Wade,Jonathan Bray,Jonathan Silverman,Comedy,6,USA,10-Nov-06
A Passion to Kill,1994,Rick King,Scott Bakula,Chelsea Field,Drama,4.6,USA,4-Nov-94
13 Going on 30,2004,Gary Winick,Jennifer Garner,Mark Ruffalo,Comedy,6.1,USA,23-Apr-04
The Cabin,1998,Paul Klein,Matt Mahood,Carolyn Mongellouzzo,Comedy,3.7,USA,NA
Blood Rush,2012,Evan Marlowe,Kerry Finlayson,Don Donnelley,Comedy,4.2,USA,1-Aug-12
Once Upon a Nightmare,2016,Richard Tanner,Korey Echols,Tom Ferguson,Horror,4,USA,5-Feb-16
Bukowski,2013,James Franco,Shannen Doherty,Alex Kingston,Biography,7.1,USA,19-Jun-13
Dismembered,2003,Ewing Miles Brown,Lee Horsley,Judson Mills,Action,7.4,USA,NA
The Wild Party,1975,James Ivory,James Coco,Raquel Welch,Comedy,5.6,USA,Mar-75
Night Eyes,2014,David Cocheret,Constance Brenneman,Steve Wilcox,Thriller,5.9,USA,12-Dec-14
Jack & Jack the Movie,2014,Stephen Hansen,Jake Foushee,Jack Gilinsky,Documentary,8,USA,25-Dec-14
Breaking Point,2017,Joe Gawalis,William DeMeo,Joseph D'Onofrio,Drama,3.1,USA,11-May-17
Blood Drive: The Movie,2013,None,Sophia Robbins,Archer King,Horror,6.8,USA,Feb-13
Falling. In Love,2002,Gregory Doucette,Susan Egan,Robert Leon Casey,Romance,7.9,USA,NA
Beneath the Valley of the Ultra-Vixens,1979,Russ Meyer,Kitten Natividad,Ann Marie,Comedy,5.7,USA,Apr-79
Plump Fiction,1997,Bob Koherr,Tommy Davidson,Julie Brown,Comedy,2.7,USA,23-May-97
Dust of Life,2006,Le-Van Kiet,Devon Duy Nguyen,Thu-Mai Tran,Drama,8.5,USA,30-Mar-06
Embrace the Darkness,1999,Kelley Cauthen,Madison Clark,Angelia High,Horror,2.9,USA,5-Oct-99
The Joys of Jezebel,1970,Peter Perry Jr.,Luanne Roberts,Christopher Stone,Comedy,4.4,USA,NA
My Heroes Have Always Been Cowboys,1991,Stuart Rosenberg,Scott Glenn,Kate Capshaw,Drama,6.4,USA,1-Mar-91
Virtually Heroes,2013,G.J. Echternkamp,Robert Baker,Brent Chase,Action,6.9,USA,18-Jan-13
Shortbus,2006,John Cameron Mitchell,Sook-Yin Lee,Peter Stickles,Drama,6.5,USA,20-Oct-06
Isle of Love,1974,Jack Strong,Rocky Newton,Helen Butone,Adult,3.8,USA,1974
Lingerie,1983,Jerome Bronson,David Cannon,Misty Dawn,Adult,7.2,USA,NA
West Bank Brooklyn,2002,None,Charles Daniel Sandoval,Bronson Picket,Drama,8.7,USA,7-Nov-02
Choosing Matthias,2001,None,Jeff Fahey,Caia Coley,Drama,6.1,USA,10-Aug-09
Director's Cut,2016,Adam Rifkin,Penn Jillette,Harry Hamlin,Horror,6.1,USA,22-Jan-16
Necessary Roughness,1991,Stan Dragoti,Scott Bakula,Hector Elizondo,Comedy,6.1,USA,27-Sep-91
Forgive Me Father,2001,None,Ivan Rogers,Rich Komenich,Crime,5.3,USA,10-May-02
Money to Burn,2010,None,David Carradine,Camille Solari,Action,5.8,USA,2010
Maximum Impact,2017,Andrzej Bartkowiak,Alexander Nevsky,Danny Trejo,Action,1.9,USA,30-Nov-17
MacArthur,1977,Joseph Sargent,Gregory Peck,Dan O'Herlihy,Biography,6.6,USA,15-Jul-77
Moving Parts,2017,Jerry Hayes,T.J. Storm,Harley Wallen,Action,8.4,USA,2017
Delinquent,2016,None,Kim Director,Erin Darke,Crime,6,USA,Jun-16
The List,2007,Gary Wheeler,Malcolm McDowell,Chuck Carrington,Thriller,4.1,USA,22-Apr-07
Happiness Runs,2010,Adam Sherman,Joni Barth,Kirsten Berman,Drama,4.9,USA,7-May-10
Test Group,2015,Keith Bailey,Amy Allyson Oliver,Jared Allman,Drama,5.4,USA,Jan-15
Destined to Be Ingested,2008,Sofian Khan,Amanda Cole,Suzi Lorraine,Horror,3.2,USA,29-Oct-08
Look Who's Talking,1989,Amy Heckerling,John Travolta,Kirstie Alley,Comedy,5.8,USA,13-Oct-89
Beautiful Creatures,2013,Richard LaGravenese,Alice Englert,Viola Davis,Drama,6.2,USA,14-Feb-13
Redlegs,2012,Brandon Harris,Aimee Cucchiaro,Jeseca Davis,Drama,7,USA,25-May-12
Best of the Best 3: No Turning Back,1995,None,Phillip Rhee,Christopher McDonald,Action,4.8,USA,17-May-95
Little Bigfoot,1997,Art Camacho,Ross Malinger,P.J. Soles,Family,3.5,USA,17-Jun-97
Little Bigfoot 2: The Journey Home,1998,Art Camacho,Stephen Furst,Taran Noah Smith,Family,3.1,USA,24-Mar-98
The Grudge 3,2009,Toby Wilkins,Matthew Knight,Shawnee Smith,Horror,4.8,USA,2-Jun-09
Reckless,1984,James Foley,Aidan Quinn,Daryl Hannah,Comedy,6.2,USA,3-Feb-84
In Like Flint,1967,Gordon Douglas,James Coburn,Lee J. Cobb,Action,6.2,USA,15-Mar-67
Fun Time,2015,Michael Taylor Pritt,Jeremy Wheeler,John Roberts,Comedy,5.2,USA,13-Aug-15
Glitter,2001,Vondie Curtis-Hall,Mariah Carey,Eric BenÃ©t,Drama,2.2,USA,21-Sep-01
Angel Baby,1961,Hubert Cornfield,George Hamilton,Mercedes McCambridge,Drama,6.2,USA,14-May-61
Swedish Erotica 19,1981,None,Cantara Christopher,David Morris,Adult,5.9,USA,NA
Abigail Harm,2012,Lee Isaac Chung,Amanda Plummer,Tetsuo Kuramochi,Drama,6.9,USA,30-Aug-13
Addicted to Love,1997,Griffin Dunne,Meg Ryan,Matthew Broderick,Comedy,6.1,USA,23-May-97
Plank Face,2016,Scott Schirmer,Nathan Barrett,Susan M. Martin,Horror,6.1,USA,27-Aug-16
Sedona,2011,Tommy Stovall,Frances Fisher,Seth Peterson,Adventure,5.2,USA,19-Feb-11
Lucifer,2016,Tiffany Castro,Ryan Kelley,Jessica Morris,Horror,7.4,USA,2016
Suits,1999,Eric Weber,Robert Klein,Tony Hendra,Comedy,4.2,USA,10-Jan-99
Behind the Red Motel Door,2010,TheWorldFamous Ike,Josh Feldman,Tom Galup,Crime,8.1,USA,8-Apr-11
Butch Jamie,2007,None,Olivia Nix,Tiffany Anne Carrin,Comedy,4.5,USA,18-Nov-08
Dead Women in Lingerie,1991,None,John Romo,Maura Tierney,Crime,4.5,USA,NA
Ocean Park,2002,David W. Warfield,Kenneth Hughes,James Haven,Thriller,6.5,USA,2002
3 Ninjas Knuckle Up,1995,Sang-ok Shin,Victor Wong,Charles Napier,Action,4.2,USA,7-Apr-95
Ashes of Eden,2014,Shane Hagedorn,Steven Sutherland,Melissa Anschutz,Crime,3.1,USA,5-Apr-16
Doug's 1st Movie,1999,Maurice Joyce,Thomas McHugh,Fred Newman,Animation,5,USA,26-Mar-99
The Brothers Grimm,2005,Terry Gilliam,Matt Damon,Heath Ledger,Adventure,5.9,USA,26-Aug-05
Marmaduke,2010,Tom Dey,Owen Wilson,Judy Greer,Comedy,4.2,USA,4-Jun-10
Since,1966,Andy Warhol,Ingrid Superstar,International Velvet,Drama,4.5,USA,1966
Attraction,2000,Russell DeGrazier,Samantha Mathis,Gretchen Mol,Drama,5.2,USA,22-Apr-01
Mindstorm,2001,Mitchell Cox,Judge Reinhold,Victor Browne,Action,2.8,USA,2001
Always Watching: A Marble Hornets Story,2015,None,Alexandra Breckenridge,Chris Marquette,Horror,4.8,USA,7-Apr-15
Dead,1996,Macdonald Carpenter,Camille Wainwright,Connie Cutler,Horror,5.3,USA,16-Aug-96
Jingles the Clown,2009,Tommy Brunswick,John Anton,April Canning,Horror,4.6,USA,20-Aug-09
Chillicothe,1999,None,Todd Edwards,Peter Bedgood,Comedy,6.7,USA,Jan-99
Eyes of the Chameleon,2005,Ron Atkins,Brian H. Scott,Mikos Zavros,Horror,2.7,USA,13-Apr-05
Witches Blood,2014,None,Joe Parascand,Kimberly Graf,Horror,5.7,USA,26-Apr-14
Asylum,1997,James Seale,Robert Patrick,Karl Bury,Drama,5,USA,9-May-97
Stephanie's Image,2009,None,Melissa Leo,Janis DeLucia Allen,Crime,5.4,USA,25-Feb-09
I Tried,2007,Rich Newey,Layzie Bone,Krayzie Bone,Drama,5.5,USA,May-07
Disco Godfather,1979,J. Robert Wagoner,Rudy Ray Moore,Carol Speed,Action,5.3,USA,Sep-79
The Diary of My Secret Life,1971,P. Talbot Drummer,Orita De Chadwick,Nancy Martin,Adult,5.4,USA,15-Dec-71
Barbie's Fantasy,1974,Claude Goddard,Sue Kelly,Butch Brady,Adult,5.3,USA,NA
Fiat Empire,2006,James Jaeger,G. Edward Griffin,Ron Paul,Documentary,7.9,USA,NA
The List,2004,Jim Menza,Libby Brien,Erik Anderson,Drama,7.2,USA,23-Sep-04
Ruby Cairo,1992,Graeme Clifford,Andie MacDowell,Liam Neeson,Mystery,5,USA,29-Oct-93
Bloodthirsty,1999,None,Monique Parent,Leslie Danon,Horror,2.5,USA,27-Apr-99
Christmas with the Dead,2012,T.L. Lankford,Damian Maffei,Brad Maule,Horror,6,USA,25-Nov-12
Dollface,2014,Tommy Faircloth,Debbie Rochon,Christian James,Horror,3.3,USA,2-Aug-14
Gambling,2004,None,J.P. Allen,Chopper Bernet,Drama,6.7,USA,2-Sep-04
A Gangster's Word,2013,Kate Whitney,Pablo NuÃ±ez,Amie Barsky,Drama,4.7,USA,10-Nov-13
Room 236,2015,Armin Alic,Wilfredo Torres,Kory Kay,Drama,8.5,USA,21-Nov-15
A Sad State of Affairs,2013,Matthew A. Lanoue,Darren Gresham,Carla Laemmle,Comedy,7.8,USA,29-Mar-13
Fruit Fly,2009,None,L.A. Renigen,Mike Curtis,Comedy,5.6,USA,17-Jul-10
They Bite,1996,Brett Piper,Ron Jeremy,George Mazzone,Comedy,5,USA,NA
The Livingston Gardener,2015,Ryan Roy,Christine Elise,James Kyson,Thriller,4.8,USA,15-May-15
Look at Me,2012,Alesia Glidewell,James Duval,Jill Hoiles,Drama,7,USA,2012
Epic Movie,2007,Aaron Seltzer,Kal Penn,Jennifer Coolidge,Adventure,2.3,USA,26-Jan-07
The Sex Monster,1999,None,Mariel Hemingway,Mike Binder,Comedy,5.2,USA,15-May-99
Oscar Pistorius: Blade Runner Killer,2017,Norman Stone,Andreas Damm,Toni Garrn,Drama,4.7,USA,8-Nov-17
The Dolls,2017,None,RichÃ rd A. LaBon,Alen Rios,Fantasy,6.6,USA,17-May-17
Wrong Way,1972,Ray Williams,Ron Namkram,Kurt Ames,Crime,3,USA,NA
Ride the Thunder,2015,Fred Koster,Eric St. John,Joseph Hieu,History,8,USA,27-Mar-15
Nine Minute Love Song,2009,Benjamin Yackshaw,Virginia Logan,Evan Sayre,Action,6.2,USA,NA
Mannequin: On the Move,1991,Stewart Raffill,Kristy Swanson,William Ragsdale,Comedy,4.1,USA,17-May-91
"One Potato, Two Potato",1964,Larry Peerce,Barbara Barrie,Bernie Hamilton,Drama,7.2,USA,10-Aug-64
The Patriot,2000,Roland Emmerich,Mel Gibson,Heath Ledger,Action,7.2,USA,28-Jun-00
To Hell with a Bullet,2013,None,Brian Forsythe,Trenton Rostedt,Drama,3.7,USA,17-Aug-13
Revenge of the Samurai Cop,2017,Gregory Hatanaka,Mathew Karedas,Tommy Wiseau,Action,6.8,USA,29-Dec-17
The Stars Fell on Henrietta,1995,James Keach,Robert Duvall,Aidan Quinn,Drama,6.6,USA,15-Sep-95
He's Such a Girl,2009,Sean Carr,Bryan Fisher,Patrick Duffy,Comedy,4.4,USA,2009
Shenandoah,1965,Andrew V. McLaglen,James Stewart,Doug McClure,Drama,7.4,USA,29-Jun-65
The Young Girl and the Monsoon,1999,James Ryan,Diane Venora,Tim Guinee,Comedy,5.2,USA,27-Apr-01
This Wretched Life,2010,None,Daniel Ball,Ande Cira,Comedy,7.7,USA,28-Jul-10
Haunted Trailer,2014,Chuck Norfolk,Ron Jeremy,Joe Grisaffi,Comedy,4.3,USA,22-Jul-14
Girl,1998,Jonathan Kahn,Dominique Swain,Sean Patrick Flanery,Comedy,5.9,USA,16-May-98
Free Love Confidential,1967,Gordon Heller,Mia Parks,Omar Legor,Drama,5.8,USA,7-Nov-06
All Hands on Deck,1961,Norman Taurog,Pat Boone,Buddy Hackett,Comedy,5.8,USA,30-Mar-61
ClownTown,2016,Tom Nagel,Brian Nagel,Lauren Compton,Horror,3.9,USA,30-Sep-16
Jocks,1986,Steve Carver,Scott Strader,Perry Lang,Comedy,3.4,USA,14-Nov-86
Change of Plans God's Way,2014,Orlando Santos,Carlos Rivera,Elgar Santana,Action,7.9,USA,10-Aug-14
Flashbacks,1981,None,Al Parker,Kip Noll,Adult,7.2,USA,1981
Just for Kicks,2003,Sydney J. Bartholomew Jr.,Cole Sprouse,Dylan Sprouse,Adventure,2.8,USA,19-May-07
Man Push Cart,2005,Ramin Bahrani,Ahmad Razvi,Leticia Dolera,Drama,7.1,USA,10-May-06
Axe,1974,None,Leslie Lee,Jack Canon,Horror,4.9,USA,Dec-74
Behaving Badly,2009,Juan Drago,Silvia SuvadovÃ¡,Nicolas Porcelli,Comedy,6.2,USA,2009
The Greasy Strangler,2016,Jim Hosking,Michael St. Michaels,Sky Elobar,Comedy,5.6,USA,7-Oct-16
The Toy Soldiers,2014,Erik Peter Carlson,Najarra Townsend,Constance Brenneman,Drama,6,USA,14-Nov-14
Where the Buffalo Roam,1980,Art Linson,Peter Boyle,Bill Murray,Biography,6.7,USA,25-Apr-80
Joy Kevin,2014,None,Tallie Medel,Jordan Clifford,Comedy,7.2,USA,9-Apr-14
Lifelines,2008,Rob Margolies,Jane Adams,Josh Pais,Comedy,7.4,USA,3-Apr-09
The Pleasures of a Woman,1972,Nick Millard,Uschi Digard,Neola Graef,Drama,5.7,USA,1972
The Glory Stompers,1967,Anthony M. Lanza,Dennis Hopper,Jody McCrea,Action,5.2,USA,22-Nov-67
The Beast That Killed Women,1965,Barry Mahon,Dolores Carlos,Gigi Darlene,Horror,2.6,USA,5-Aug-65
Wounded Love,2004,None,Shaila Vaidya,Robert McAtee,Drama,6.9,USA,2014
Dildo Heaven,2002,Doris Wishman,Mickey Garcia,Elizabeth Ash,Comedy,6.2,USA,8-Mar-02
Glee: The 3D Concert Movie,2011,Jennifer Arnold,Cory Monteith,Dianna Agron,Documentary,5.4,USA,12-Aug-11
Casualties of the State,2012,Jeremy Cropf,David Robert Mueller,Alex McCormick,Action,8.7,USA,13-Oct-12
Time of the Heathen,1962,Peter Kass,John Heffernan,Stewart Heller,Drama,6,USA,Mar-62
Labor Pains,2009,Lara Shapiro,Lindsay Lohan,Luke Kirby,Comedy,4.8,USA,19-Jun-09
Scary Tales,2014,Geno McGahee,Logan Lopez,Tim Pieciak,Horror,5.6,USA,18-Jul-14
The Love Cult,1966,Barry Mahon,Vincent Van Lynn,Rita Bennett,Drama,4,USA,1966
The Golden Legacy,2003,Arthur Luhn,Diane McKeon,Patrick Brannelly,Adventure,5,USA,2003
X: The Man with the X-Ray Eyes,1963,Roger Corman,Ray Milland,Diana Van der Vlis,Horror,6.7,USA,20-Apr-65
The Trek,2008,Lola Wallace,Erin Fleming,Brett Hundley,Drama,7.5,USA,26-Sep-08
Mosquito-Man,2013,None,Michael Manasseri,Kimberley Kates,Action,5.5,USA,20-Apr-13
Forbidden,2001,Robert Kubilos,Dillon Morgan Silver,Renee Rea,Drama,5.6,USA,17-Sep-01
Music from Another Room,1998,Charlie Peters,Jude Law,Jennifer Tilly,Comedy,6.5,USA,12-Nov-98
The American Success Company,1980,William Richert,Jeff Bridges,Belinda Bauer,Comedy,5.7,USA,Mar-80
Pontiac Moon,1994,Peter Medak,Ted Danson,Mary Steenburgen,Drama,5.7,USA,4-Nov-94
Saving Private Ryan,1998,Steven Spielberg,Tom Hanks,Matt Damon,Drama,8.6,USA,24-Jul-98
NoÃ«lle,2007,None,David Wall,Sean Patrick Brennan,Drama,5.8,USA,7-Dec-07
Blood & Guts,1978,Paul Lynch,William Smith,Micheline LanctÃ´t,Action,5.8,USA,15-Sep-78
Confessions of a Prodigal Son,2015,Allan Spiers,Kevin Sorbo,Michael Bolten,Drama,5.6,USA,24-Mar-15
Super Hybrid,2010,Eric Valette,Alden Adair,Shannon Beckner,Horror,4,USA,4-Aug-11
Small Pond,2011,Josh Slates,Hari Leigh,Susan Burke,Comedy,5.6,USA,7-May-11
Shadow Puppets,2007,Michael Winnick,James Marsters,Tony Todd,Horror,4.9,USA,16-Apr-07
Idol Hands,1999,Joe DeMaio,Joe Pallister,Matt Kowalski,Crime,6.6,USA,1999
Town Diary,2002,Jack Kenny,David Andrews,Brette Taylor,Drama,6,USA,NA
Fruit of the Vine,1999,Kent Heckenlively,Jeffrey Patrick Dean,Tim Glenn,Drama,7.8,USA,NA
Key of Brown,2013,Vaughn Christion,Verina Banks,Struggle E. Stylez,Action,6,USA,28-Aug-13
Kook's Tour,1970,None,Joe DeRita,Larry Fine,Comedy,6.5,USA,5-Feb-70
End of the World,1977,John Hayes,Christopher Lee,Sue Lyon,Horror,2.9,USA,Aug-77
"Tomorrow, Maybe",2017,Jace Daniel,Robert Blanche,Bethany Jacobs,Drama,8.1,USA,2017
Hardball,2001,Brian Robbins,Keanu Reeves,Diane Lane,Drama,6.4,USA,14-Sep-01
Thanks for Dying,2009,R.J. McFarlane,Tom Christensen,Elizabeth Triplett,Comedy,6,USA,8-Nov-13
Loverboy,2005,None,Kyra Sedgwick,Dominic Scott Kay,Drama,5.5,USA,28-Apr-05
Captain Lust,1977,None,Wade Nichols,Bobby Astyr,Adult,6.6,USA,1-Oct-83
Forgiving the Franklins,2006,None,Teresa Willis,Robertson Dean,Comedy,6.4,USA,25-Jan-06
The Crack Down,2008,None,Charles Nordeen,Seth Abrams,Action,5.9,USA,6-Jun-08
Noise,2004,Tony Spiridakis,Julia Barnett,Trish Goff,Drama,5.5,USA,31-Jan-04
Never Say Macbeth,2007,Christopher J. Prouty,Tammy Caplan,John Combs,Comedy,6.8,USA,10-Jul-07
Trespass,2011,Joel Schumacher,Nicolas Cage,Nicole Kidman,Crime,5.3,USA,21-Oct-11
The Grey Zone,2001,Tim Blake Nelson,David Arquette,Velizar Binev,Drama,7.1,USA,30-Nov-01
Mandingo,1975,Richard Fleischer,James Mason,Susan George,Drama,6.2,USA,25-Jul-75
The Shadow,1994,Russell Mulcahy,Alec Baldwin,John Lone,Action,6,USA,1-Jul-94
Agent One-Half,2008,None,Warwick Davis,Arturo Gil,Action,5.3,USA,NA
Heaven Can Wait,1978,Buck Henry,Warren Beatty,James Mason,Comedy,6.9,USA,28-Jun-78
The Eiger Sanction,1975,None,Clint Eastwood,George Kennedy,Action,6.4,USA,21-May-75
Car Wash,1976,Michael Schultz,Richard Pryor,Franklyn Ajaye,Comedy,6,USA,22-Oct-76
Disco,2017,None,Allison Pregler,Sarah Gobble,Comedy,7,USA,14-Dec-17
JacobJosefAimee,2014,Jacob Brown,Alexey Galetskiy,Niclas Gillis,Drama,6.8,USA,NA
Shattered,1991,Wolfgang Petersen,Tom Berenger,Bob Hoskins,Crime,6.5,USA,11-Oct-91
Justine: Exotic Liaisons,1995,Kevin Alber,Chanda,Melodi Clark,Romance,5.3,USA,NA
Fixing Rhonda,2008,None,Tessa Munro,Nellie Sciutto,Drama,8.2,USA,2008
And Here No Devil Can Hurt You,2011,None,Mirjam Egeris Karstoft,Richard Buonagurio,Horror,4,USA,NA
Genesis,1964,Michael B. Druxman,William Turner,Marc Alexander,Drama,6.2,USA,NA
Grappling with your Demons,2008,None,Ford Austin,B.J. Hendricks,Drama,5.6,USA,26-Jul-08
Pawn,2007,None,Hal Hughes,Amelia Wargo,Drama,7.4,USA,23-Oct-07
The Garlock Incident,2012,None,Ana Lily Amirpour,Adam Chambers,Horror,5.3,USA,15-Sep-17
Slaves of Love,1969,Charles Nizet,Peter Owen,Cary St. Clair,Adventure,4.7,USA,Jan-69
Family Prayers,1993,None,Joe Mantegna,Anne Archer,Drama,6.2,USA,16-Mar-93
The Kingdom,2007,Peter Berg,Jamie Foxx,Chris Cooper,Action,7.1,USA,28-Sep-07
Spring,2014,Justin Benson,Lou Taylor Pucci,Nadia Hilker,Comedy,6.7,USA,20-Mar-15
Brothers,2009,Jim Sheridan,Jake Gyllenhaal,Natalie Portman,Drama,7.1,USA,4-Dec-09
The Preacher's Wife,1996,Penny Marshall,Denzel Washington,Whitney Houston,Comedy,5.5,USA,13-Dec-96
Batman v Superman: Dawn of Justice,2016,Zack Snyder,Ben Affleck,Henry Cavill,Action,6.6,USA,25-Mar-16
The Little Death,2006,Morgan Nichols,Laura Lee Bahr,Chris Butler,Thriller,7.8,USA,17-Jun-06
"Mom, Murder & Me",2014,Heather Donnell,C.S. Boris,Liz Frances Rolfe,Comedy,6.5,USA,2014
Expensive Tastes,1978,Maria Lease,John Leslie,Eileen Welles,Adult,6.8,USA,19-May-79
The Water's Edge,2006,Robin Conly,Heather Cox,Laura Evans,Drama,6.7,USA,7-Oct-06
Surrender in Paradise,1985,Svetlana,Rene Tiffany,Stacey Donovan,Adult,7,USA,25-Apr-85
Lucky 13,2005,Chris Hall,Brad Hunt,Harland Williams,Comedy,4.9,USA,2005
Moonfire,1970,Michael Parkhurst,Richard Egan,Charles Napier,Action,5.1,USA,Jul-70
A Perfect Couple,1979,Robert Altman,Paul Dooley,Marta Heflin,Comedy,6,USA,5-Jan-81
Lunch Box,1992,Yusuf Khan,Brad J. Silverman,Ava Cadell,Comedy,6.1,USA,NA
Love Don't Cost a Thing,2003,Troy Byer,Nick Cannon,Christina Milian,Comedy,5.1,USA,12-Dec-03
Let's Kill Uncle,1966,William Castle,Nigel Green,Mary Badham,Horror,6,USA,9-Mar-67
"Run, Angel, Run!",1969,Jack Starrett,William Smith,Valerie Starrett,Action,5.3,USA,22-May-70
Cabaret Sin,1987,None,Candie Evans,Greg Derek,Adult,5.9,USA,NA
666: The Child,2006,Jack Perez,Adam Vincent,Booboo Stewart,Horror,2.8,USA,6-Jun-06
Possession,2013,Jose Hernandez,Mercedes DÃ­az,Ron Frazier,Drama,6.8,USA,NA
Grumpy Old Men,1993,Donald Petrie,Jack Lemmon,Walter Matthau,Comedy,7,USA,25-Dec-93
The Indy Wrestler,2011,None,Jeffrey Ayers,Thomas Doutt,Sport,3.4,USA,2011
Human People,2013,Chris Cloud,Jordan Ogletree,Vincent Bouchard,Comedy,8.5,USA,26-Oct-13
Death Merchants,1991,Peter Warner,Christopher Stanley,Tony Devon,Crime,5.4,USA,NA
The Dark Side of Love,2012,None,Jason Susag,Jorge Ameer,Drama,4.6,USA,18-May-12
What's Love Got to Do with It,1993,Brian Gibson,Angela Bassett,Laurence Fishburne,Biography,7.2,USA,25-Jun-93
Nobel Son,2007,Randall Miller,Alan Rickman,Bryan Greenberg,Comedy,6.4,USA,5-Dec-08
The Final Sanction,1990,David A. Prior,Ted Prior,Robert Z'Dar,Action,4.9,USA,30-Nov-90
Shattered,2017,Natasha Kermani,Ray Wise,Arianne Zucker,Thriller,6.4,USA,28-Jan-17
Cost of Living,1997,Stan Schofield,Brett C. Adams,Meghan Andrews,Thriller,5.6,USA,31-Oct-97
The Mix,2017,Greg Townsend,Camelia Dee,Cyrina Fiallo,Comedy,8.8,USA,10-Oct-17
Night Lessons,1990,Ron Jeremy,Harry Kindness,Unique Luv,Adult,7,USA,NA
The Grudge 2,2006,Takashi Shimizu,Amber Tamblyn,Edison Chen,Horror,5,USA,13-Oct-06
Felt,2014,None,Amy Everson,Kentucker Audley,Drama,4.7,USA,20-Sep-14
Sweet Leaf,2013,Julian Grant,Zane Byrdy,Jimmy Chung,Crime,5.8,USA,11-Oct-13
Caleb's Door,2009,None,Carl DiMaggio,Charles Stransky,Thriller,3.4,USA,19-May-09
Deliverance from Evil,2012,Jose Quiroz,Angel Aviles,Molly Celaschi,Horror,3,USA,20-Mar-12
Alien Opponent,2010,Colin Theys,Jeremy London,Roddy Piper,Action,4.4,USA,5-Aug-11
The Last Run,1971,John Huston,George C. Scott,Tony Musante,Action,6.6,USA,24-Sep-71
Goodnite Charlie,2005,Gail Rorant,Ellen Bodkins,Tracy Bonadie,Action,7.7,USA,5-Mar-05
The Cry,2007,Bernadine Santistevan,Roberto Quintana Jr.,Jayden Vargas,Horror,2.6,USA,2007
Viper,1988,Peter Maris,Linda Purl,James Tolkan,Action,5.3,USA,May-88
Four Senses,2013,Ruediger von Spies,Rusty Joiner,Nadine Vinzens,Comedy,7.6,USA,20-Sep-13
The Cloud of Unknowing,2002,Richard Sylvarnes,Miho Nikaido,D.J. Mendel,Drama,9,USA,10-May-02
The Substance of Things Hoped For,2006,Greg Morgan,Thom Carey,Shannon Cochran,Drama,7.4,USA,6-Apr-06
Pastime,1990,Robin B. Armstrong,William Russ,Glenn Plummer,Drama,7,USA,23-Aug-91
"The One and Only, Genuine, Original Family Band",1968,Michael O'Herlihy,Walter Brennan,Buddy Ebsen,Comedy,6.5,USA,25-Apr-69
The Nail: The Story of Joey Nardone,2009,James Quattrochi,William Forsythe,Tony Danza,Drama,6.2,USA,3-Aug-09
